Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
3972,1400,281,0,206,0,1952,8,125,6071007106,459
6076,826,478,0,1451,0,3089,0,232,6071007200,1984
7497,610,781,10,567,0,5323,24,182,6071007601,3512
5416,2430,804,28,577,0,1465,0,112,6071007800,1164
3238,1158,180,0,360,0,1432,0,108,6071008100,819
5852,3408,108,0,24,48,2239,0,25,6071008800,865
5163,828,479,17,42,0,3708,0,89,6071009800,2887
3696,1302,261,0,32,0,1985,0,116,6071010009,814
6869,1708,172,0,132,0,4781,0,76,6071010010,1822
7753,2889,140,13,110,0,4527,0,74,6071010013,2729
7966,2111,664,0,162,0,4834,28,167,6071010020,3850
4897,3134,0,0,96,0,1562,16,89,6055201200,762
2490,1797,0,0,471,0,80,10,132,6075042800,123
3663,134,732,0,724,143,1563,81,286,6075023400,1178
5487,3647,373,0,603,0,517,45,302,6075016500,701
7022,3586,272,20,1835,0,779,103,427,6075030700,167
9053,2890,133,31,4546,0,613,18,822,6075035100,805
4863,4074,0,36,420,0,175,0,158,6075013000,395
3527,780,190,6,1453,0,940,26,132,6075026002,213
5164,432,422,18,2361,0,1708,0,223,6075026402,823
5663,2318,118,0,2418,0,370,101,338,6075030301,617
6584,3131,314,14,2262,55,725,0,83,6075030800,136
3284,1299,93,0,1010,0,806,7,69,6075025402,340
7597,2949,87,0,3868,0,370,0,323,6075047901,1117
7583,490,91,14,5475,0,1358,23,132,6075026200,318
4345,2443,199,0,747,0,489,42,425,6075021600,662
7314,3125,159,15,3208,0,473,0,334,6075030900,663
2930,2567,6,25,0,0,324,0,8,6091010000,435
4766,408,295,0,84,0,3933,0,46,6073003501,1960
6616,3101,874,0,828,30,1477,0,306,6073005200,1565
4243,3369,50,0,393,0,431,0,0,6073006000,319
2360,208,116,0,22,0,2014,0,0,6073005000,1062
23,13,5,0,0,0,5,0,0,6073006200,0
4746,3941,65,0,70,85,495,0,90,6073007600,769
4091,2609,29,0,561,0,638,0,254,6073017047,160
2932,2401,4,0,255,0,197,0,75,6073017107,72
7191,4898,108,15,300,17,1631,0,222,6073018504,1248
